LOR,LOR Name,31.12.2017,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016
08040933,Vogelviertel Süd,3,-,3,3,-,4,3,-,6,-,-
08040934,Vogelviertel Nord,10,-,-,-,-,-,12,6,3,9,4
08041035,Blumenviertel,7,-,-,3,4,-,-,-,4,9,12
08041036,Zittauer Straße,9,-,3,3,3,-,6,10,3,6,3
08041037,Alt-Rudow,6,6,3,7,-,-,-,-,15,13,3
08041038,Waßmannsdorfer Chaussee,6,-,6,3,3,7,3,12,9,3,10
08041039,Frauenviertel,6,3,-,3,6,-,3,3,3,3,6
08041040,Waltersdorfer Chaussee Ost,3,9,12,3,9,9,11,3,6,9,9
09010101,Elsenstraße,83,15,18,27,34,42,61,55,64,71,78
09010102,Am Treptower Park Nord,-,-,-,3,-,-,-,-,-,-,-
09010201,Am Treptower Park Süd,13,-,3,3,-,3,4,6,3,3,3
09010202,Köpenicker Landstraße,16,-,-,-,-,-,-,-,-,3,10
09010301,Baumschulenstraße,52,6,9,3,6,15,32,54,45,45,50
09010302,Späthsfelde,-,-,-,-,-,-,-,-,-,-,-
09010401,Johannisthal West,3,6,-,4,-,-,-,3,-,3,6
09010402,Johannisthal Ost,12,6,3,3,3,9,6,6,9,10,6
09020501,Oberschöneweide West,12,3,3,-,3,3,10,6,9,12,19
09020502,Oberschöneweide Ost,33,3,9,-,6,12,3,19,18,21,31
09020601,Schnellerstraße,11,3,3,-,-,6,3,6,9,6,9
09020602,Oberspree,-,-,-,-,-,-,-,3,-,-,-
09020701,Adlershof West,20,-,-,-,-,-,-,-,6,10,12
09020702,Adlershof Ost,22,6,6,3,3,-,-,9,6,18,15
09020801,Spindlersfeld,-,-,-,-,-,-,-,-,-,-,-
09020802,Köllnische Vorstadt,10,6,-,-,4,-,3,3,9,9,13
09030901,Dorf Altglienicke,12,-,-,-,3,-,9,9,12,9,4
09030902,Wohngebiet II,6,-,-,-,-,-,-,-,-,3,3
09030903,Kölner Viertel,-,-,-,3,3,3,-,-,-,-,-
09031001,Bohnsdorf,12,-,-,-,-,-,7,6,4,9,6
09031101,Grünau,-,3,-,-,-,-,-,6,6,-,-
09031201,Karolinenhof,-,-,-,-,-,-,-,-,-,-,-
09031202,Schmöckwitz/Rauchfangswerder,3,-,-,3,3,-,4,3,-,7,3
09041301,Kietzer Feld/Nachtheide,6,3,3,3,-,-,7,4,4,3,3
09041302,Wendenschloß,3,-,-,-,3,3,-,3,6,-,3
09041401,Allende I,6,-,4,6,6,6,-,3,-,3,3
09041402,Allende II,-,-,-,-,-,-,-,-,-,3,3
09041501,Altstadt Kietz,9,-,-,3,6,6,6,-,4,6,9
09041601,Müggelheim,-,-,-,-,-,-,-,-,-,-,-
09051701,Hirschgarten,3,3,3,-,-,3,4,6,3,3,3
09051702,Bölschestraße,19,9,18,21,16,15,12,21,15,18,15
09051801,Rahnsdorf/Hessenwinkel,7,-,-,3,-,4,9,3,6,6,4
09051901,Dammvorstadt,11,-,3,3,9,3,13,6,6,10,6
09052001,Köpenick Nord,6,-,-,3,6,9,-,3,-,3,3
10010101,Marzahn West,-,-,-,-,-,-,-,-,3,3,-
10010102,Havemannstraße,-,-,6,7,-,-,4,3,3,4,3
10010203,Gewerbegebiet Bitterfelder Straße,-,-,-,-,-,-,3,3,6,-,3
10010204,Wuhletalstraße,4,-,-,-,-,-,-,3,3,-,8
10010205,Marzahn Ost,-,-,-,-,3,-,-,3,-,-,-
10010206,Ringkolonnaden,17,-,-,-,6,-,-,3,3,6,12
10010207,Marzahner Promenade,6,-,-,-,-,-,3,3,-,3,7
10010308,Marzahner Chaussee,-,-,-,-,-,-,3,-,3,3,4
10010309,Springpfuhl,13,-,-,3,3,3,-,3,6,9,7
10010310,Alt-Marzahn,12,-,3,-,-,-,3,3,3,6,10
10010311,Landsberger Tor,-,-,-,-,-,-,-,-,-,-,-
10020412,Alte Hellersdorfer Straße,6,-,-,-,-,-,-,4,-,3,6
10020413,Gut Hellersdorf,3,3,3,3,3,3,3,6,10,6,-
10020414,Helle Mitte,-,-,-,-,-,-,-,-,-,-,-
10020415,Hellersdorfer Promenade,22,-,-,-,-,-,-,6,3,7,13
10020416,Böhlener Straße,4,-,-,-,-,3,9,8,9,6,12
10020517,Adele-Sandrock-Straße,3,-,3,3,3,-,3,3,3,3,3
10020518,Schleipfuhl,-,-,-,-,-,3,-,-,3,6,3
10020519,Boulevard Kastanienallee,9,-,-,-,-,-,-,-,10,9,3
10020620,Kaulsdorf Nord II,-,3,-,-,-,-,-,3,-,-,3
10020621,Gelbes Viertel,7,3,-,-,-,-,-,3,-,7,6
